#theocracy;Theocracy;;;;;;;;;;;;;x;;;;;;;;;;;;;;
#theocracy_ruler;Pope;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_theocracy;Papal State;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_theocracy_ADJ;Papal;;;;;;;;;;;;;x;;;;;;;
PAP_proletarian_dictatorship;Peoples Republic of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_proletarian_dictatorship_ADJ;Roman;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_presidential_dictatorship;Republic of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_presidential_dictatorship_ADJ;Roman;;;;;;;;;;;;;x;;;;;;
PAP_bourgeois_dictatorship;Republic of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;
PAP_bourgeois_dictatorship_ADJ;Roman;;;;;;;;;;;;;x;;;;;;
PAP_fascist_dictatorship;State of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_fascist_dictatorship_ADJ;Roman;;;;;;;;;;;;;x;;;;;;
PAP_democracy;Republic of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_democracy_ADJ;Roman;;;;;;;;;;;;;x;;;;;;
PAP_absolute_monarchy;Kingdom of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_absolute_monarchy_ADJ;Roman;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_prussian_constitutionalism;Kingdom of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_prussian_constitutionalism_ADJ;Roman;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_hms_government;Kingdom of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_hms_government_ADJ;Roman;;;;;;;;;;;;;x;;;;;;;;;;;;;;
UAL;Alabama;;;;;;;;;;;;;x
UAL_ADJ;Alabaman;;;;;;;;;;;;;x
UAL_liberal;New Republican Party;;;;;;;;;;;;;x
UAL_conservative;New Democratic Party;;;;;;;;;;;;;x
UAL_socialist;Socialist Party;;;;;;;;;;;;;x
UAL_reactionary;New American Party;;;;;;;;;;;;;x
UAL_anarcho_liberal;Libertarian Party;;;;;;;;;;;;;x
UAL_communist;Communist Party;;;;;;;;;;;;;x
UAL_fascist;Supremacy Party;;;;;;;;;;;;;x
UAR;Arkansas;;;;;;;;;;;;;x
UAR_ADJ;Arkansan;;;;;;;;;;;;;x
UAR_liberal;New Republican Party;;;;;;;;;;;;;x
UAR_conservative;New Democratic Party;;;;;;;;;;;;;x
UAR_socialist;Socialist Party;;;;;;;;;;;;;x
UAR_reactionary;New American Party;;;;;;;;;;;;;x
UAR_anarcho_liberal;Libertarian Party;;;;;;;;;;;;;x
UAR_communist;Communist Party;;;;;;;;;;;;;x
UAR_fascist;Supremacy Party;;;;;;;;;;;;;x
UFL;Florida;;;;;;;;;;;;;x
UFL_ADJ;Floridian;;;;;;;;;;;;;x
UFL_liberal;New Republican Party;;;;;;;;;;;;;x
UFL_conservative;New Democratic Party;;;;;;;;;;;;;x
UFL_socialist;Socialist Party;;;;;;;;;;;;;x
UFL_reactionary;New American Party;;;;;;;;;;;;;x
UFL_anarcho_liberal;Libertarian Party;;;;;;;;;;;;;x
UFL_communist;Communist Party;;;;;;;;;;;;;x
UFL_fascist;Supremacy Party;;;;;;;;;;;;;x
UGA;Georgia;;;;;;;;;;;;;x
UGA_ADJ;Georgian;;;;;;;;;;;;;x
UGA_liberal;New Republican Party;;;;;;;;;;;;;x
UGA_conservative;New Democratic Party;;;;;;;;;;;;;x
UGA_socialist;Socialist Party;;;;;;;;;;;;;x
UGA_reactionary;New American Party;;;;;;;;;;;;;x
UGA_anarcho_liberal;Libertarian Party;;;;;;;;;;;;;x
UGA_communist;Communist Party;;;;;;;;;;;;;x
UGA_fascist;Supremacy Party;;;;;;;;;;;;;x
UIA;Iowa;;;;;;;;;;;;;x
UIA_ADJ;Iowan;;;;;;;;;;;;;x
UIA_liberal;New Republican Party;;;;;;;;;;;;;x
UIA_conservative;New Democratic Party;;;;;;;;;;;;;x
UIA_socialist;Socialist Party;;;;;;;;;;;;;x
UIA_reactionary;New American Party;;;;;;;;;;;;;x
UIA_anarcho_liberal;Libertarian Party;;;;;;;;;;;;;x
UIA_communist;Communist Party;;;;;;;;;;;;;x
UIA_fascist;Supremacy Party;;;;;;;;;;;;;x
UIN;Indiana;;;;;;;;;;;;;x
UIN_ADJ;Indianan;;;;;;;;;;;;;x
UIN_liberal;New Republican Party;;;;;;;;;;;;;x
UIN_conservative;New Democratic Party;;;;;;;;;;;;;x
UIN_socialist;Socialist Party;;;;;;;;;;;;;x
UIN_reactionary;New American Party;;;;;;;;;;;;;x
UIN_anarcho_liberal;Libertarian Party;;;;;;;;;;;;;x
UIN_communist;Communist Party;;;;;;;;;;;;;x
UIN_fascist;Supremacy Party;;;;;;;;;;;;;x
UKY;Kentucky;;;;;;;;;;;;;x
UKY_ADJ;Kentuckian;;;;;;;;;;;;;x
UKY_liberal;New Republican Party;;;;;;;;;;;;;x
UKY_conservative;New Democratic Party;;;;;;;;;;;;;x
UKY_socialist;Socialist Party;;;;;;;;;;;;;x
UKY_reactionary;New American Party;;;;;;;;;;;;;x
UKY_anarcho_liberal;Libertarian Party;;;;;;;;;;;;;x
UKY_communist;Communist Party;;;;;;;;;;;;;x
UKY_fascist;Supremacy Party;;;;;;;;;;;;;x
ULA;Louisiana;;;;;;;;;;;;;x
ULA_ADJ;Louisianan;;;;;;;;;;;;;x
ULA_liberal;New Republican Party;;;;;;;;;;;;;x
ULA_conservative;New Democratic Party;;;;;;;;;;;;;x
ULA_socialist;Socialist Party;;;;;;;;;;;;;x
ULA_reactionary;New American Party;;;;;;;;;;;;;x
ULA_anarcho_liberal;Libertarian Party;;;;;;;;;;;;;x
ULA_communist;Communist Party;;;;;;;;;;;;;x
ULA_fascist;Supremacy Party;;;;;;;;;;;;;x
UMI;Michigan;;;;;;;;;;;;;x
UMI_ADJ;Michigander;;;;;;;;;;;;;x
UMI_liberal;New Republican Party;;;;;;;;;;;;;x
UMI_conservative;New Democratic Party;;;;;;;;;;;;;x
UMI_socialist;Socialist Party;;;;;;;;;;;;;x
