EVTNAME1002900;Santa Cruz Answers Orbegoso;;;;;;;;;;;;;x
EVTDESC1002900;The Peruvian republic has torn itself in two. President Luis Jose de Orbegoso, driven from Lima by the coup of Felipe Santiago Salaverry, has appealed to La Paz for help, offering in return the union of Peru and Bolivia that Marshal Andres de Santa Cruz has wanted since Ayacucho. The Bolivian army stands ready at the Desaguadero. To cross it is to make the Confederation of the Andes a fact, and to make enemies of Santiago and Buenos Aires.;;;;;;;;;;;;;x
EVTOPTA1002900;Cross the Desaguadero. The Perus shall be united!;;;;;;;;;;;;;x
EVTOPTB1002900;We march only as mediators between the factions.;;;;;;;;;;;;;x
EVTOPTC1002900;Bolivia has troubles enough of her own.;;;;;;;;;;;;;x
EVTNAME1002900_NEWS_TITLE;Bolivian Army Masses on the Peruvian Frontier;;;;;;;;;;;;;x
EVTDESC1002900_NEWS_LONG;Marshal Andres de Santa Cruz has answered the appeal of the deposed Peruvian president Orbegoso against the usurper Salaverry. Bolivian regiments are reported at the Desaguadero crossing. Observers in Santiago and Buenos Aires read the movement as the opening of a Confederation of the Andes rather than the rescue of a friendly government.;;;;;;;;;;;;;x
EVTDESC1002900_NEWS_MEDIUM;Santa Cruz answers Orbegoso. Bolivian troops are massing at the Desaguadero and a union of Peru and Bolivia is openly discussed.;;;;;;;;;;;;;x
EVTDESC1002900_NEWS_SHORT;Bolivian army moves toward Peru.;;;;;;;;;;;;;x
EVTNAME1002901;Salaverry, the Regenerator;;;;;;;;;;;;;x
EVTDESC1002901;General Felipe Santiago Salaverry, twenty-nine years old and proclaimed Supreme Chief in Lima, calls the Bolivian advance an invasion and swears to shoot any foreign officer taken in arms. Orbegoso and his followers call it a rescue. The republic must choose between the Regenerator and the Confederation, and either choice will be paid for in the sierra.;;;;;;;;;;;;;x
EVTOPTA1002901;Peru will not be governed from La Paz. Rally to Salaverry!;;;;;;;;;;;;;x
EVTOPTB1002901;Send envoys to Santiago and Buenos Aires. Let them pay for our war.;;;;;;;;;;;;;x
EVTOPTC1002901;Orbegoso is the lawful president. Open the gates.;;;;;;;;;;;;;x
EVTNAME1002902;Portales and the Restoration Army;;;;;;;;;;;;;x
EVTDESC1002902;Diego Portales sees in the Confederation of the Andes a power that would dwarf Chile and take the trade of the Pacific coast with it. His memorandum to Santiago is blunt: the Confederation must disappear. The Congress is asked to vote the funds for a Restoration Army and for the squadron that must carry it north.;;;;;;;;;;;;;x
EVTOPTA1002902;The Confederation must disappear. Send the Restoration Army.;;;;;;;;;;;;;x
EVTOPTB1002902;Chile cannot pay for a war across the Atacama.;;;;;;;;;;;;;x
EVTNAME1002902_NEWS_TITLE;Chile Declares War on the Peru-Bolivian Confederation;;;;;;;;;;;;;x
EVTDESC1002902_NEWS_LONG;The government of Diego Portales has obtained from Congress the funds for an expeditionary army and a squadron to carry it to the Peruvian coast. Santiago holds that a united Peru and Bolivia is incompatible with the independence of the smaller Pacific republics. The Restoration Army sails north under a formal declaration of war.;;;;;;;;;;;;;x
EVTDESC1002902_NEWS_MEDIUM;Santiago has voted the funds for a Restoration Army. Chile is at war with the Confederation.;;;;;;;;;;;;;x
EVTDESC1002902_NEWS_SHORT;Chile declares war on the Confederation.;;;;;;;;;;;;;x
EVTNAME1002903;Rosas Declares War;;;;;;;;;;;;;x
EVTDESC1002903;Juan Manuel de Rosas, Governor of Buenos Aires and Restorer of the Laws, has his own quarrel with Santa Cruz over the border districts of Tarija and Jujuy and over the shelter the Confederation gives his unitarian exiles. With the Chileans already fighting in the north, the Argentine Confederation may open a second front across the Puna, or leave the Andes to Chile and keep its soldiers for the Banda Oriental.;;;;;;;;;;;;;x
EVTOPTA1002903;Two fronts will finish Santa Cruz. Declare war.;;;;;;;;;;;;;x
EVTOPTB1002903;The Restorer has enemies enough at home.;;;;;;;;;;;;;x
EVTNAME1002904;The Treaty of Paucarpata;;;;;;;;;;;;;x
EVTDESC1002904;The first Chilean expedition under Blanco Encalada is bottled up in the Peruvian sierra, short of supplies and shorter of allies. At Paucarpata, outside Arequipa, he has signed a treaty with Santa Cruz that returns the captured squadron and carries the army home unharmed. Santiago is not obliged to ratify what a general signs in the field.;;;;;;;;;;;;;x
EVTOPTA1002904;Repudiate it. Bulnes will command the second expedition.;;;;;;;;;;;;;x
EVTOPTB1002904;Ratify it. Bring the army home.;;;;;;;;;;;;;x
EVTNAME1002905;The Battle of Yungay;;;;;;;;;;;;;x
EVTDESC1002905;In the valley of the Santa, under the snows of the Huascaran, the Restoration Army of General Manuel Bulnes has broken the Confederate line on the heights of Pan de Azucar. Santa Cruz is in flight toward the coast and the Confederation of the Andes has lost its army in a single January morning. What Chile does with the victory will decide whether Peru and Bolivia are separate republics again, or merely a beaten one.;;;;;;;;;;;;;x
EVTOPTA1002905;Restore the three republics. The Andes shall have no hegemon.;;;;;;;;;;;;;x
EVTOPTB1002905;Take the settlement and bring the army home.;;;;;;;;;;;;;x
EVTNAME1002905_NEWS_TITLE;Yungay: The Confederation Broken;;;;;;;;;;;;;x
EVTDESC1002905_NEWS_LONG;The Restoration Army of Chile, commanded by General Manuel Bulnes, has destroyed the army of the Peru-Bolivian Confederation on the heights above Yungay in the valley of the Santa. Marshal Santa Cruz has abandoned the field. The victory removes at a stroke the greatest military power on the Pacific coast of South America and leaves the future of Peru and Bolivia to be settled by the victors.;;;;;;;;;;;;;x
EVTDESC1002905_NEWS_MEDIUM;Bulnes has destroyed the Confederate army at Yungay. Santa Cruz is in flight and the Confederation is broken.;;;;;;;;;;;;;x
EVTDESC1002905_NEWS_SHORT;Chile wins the battle of Yungay.;;;;;;;;;;;;;x
EVTNAME1002906;The Congress of Chuquisaca;;;;;;;;;;;;;x
EVTDESC1002906;The assembly summoned to Chuquisaca has voted that Upper Peru will be neither a province of Lima nor a dependency of Buenos Aires nor a possession of any crown. On the sixth of August the deputies proclaimed the Republic of Bolivar, named for the Liberator himself, with Marshal Sucre and his veterans standing behind them. Our garrisons in the sierra are few, the mule roads are long, and every neighbour of the new republic has already sent it a greeting.;;;;;;;;;;;;;x
EVTOPTA1002906;Recognise the republic. Upper Peru is lost to us.;;;;;;;;;;;;;x
EVTOPTB1002906;The sierra will be held. Reinforce the garrisons.;;;;;;;;;;;;;x
EVTNAME1002907;The Republic Will Not Wait;;;;;;;;;;;;;x
EVTDESC1002907;Three years of garrison duty on the altiplano have cost more than the mines return. The deputies of Chuquisaca govern in all but name, the muleteers carry their decrees, and the last column sent up to La Paz melted away before it arrived. Bolivia exists whether we recognise it or not. The only question left to us is the manner of our going.;;;;;;;;;;;;;x
EVTOPTA1002907;Withdraw the garrisons and recognise Bolivia.;;;;;;;;;;;;;x
EVTOPTB1002907;Hold to the last and let the army be beaten out of the sierra.;;;;;;;;;;;;;x
EVTNEWS1002900_TITLE;Santa Cruz Weighs the Peruvian Appeal;;;;;;;;;;;;;x
EVTNEWS1002900_LONG;President Orbegoso, driven from Lima by the coup of Felipe Santiago Salaverry, has appealed to La Paz for assistance and offers in return the union of the two republics. Marshal Andres de Santa Cruz has called his officers to the Desaguadero while the cabinet debates the answer. Santiago and Buenos Aires watch the frontier and reserve their judgement.;;;;;;;;;;;;;x
EVTNEWS1002900_MEDIUM;Orbegoso has asked La Paz for help against Salaverry. Bolivia has yet to give her answer and the frontier is watched from Santiago and Buenos Aires.;;;;;;;;;;;;;x
EVTNEWS1002900_SHORT;Bolivia weighs the Peruvian appeal.;;;;;;;;;;;;;x
EVTNEWS1002902_TITLE;Portales Demands That the Confederation Disappear;;;;;;;;;;;;;x
EVTNEWS1002902_LONG;The memorandum of Diego Portales holds that a united Peru and Bolivia is incompatible with the independence of the smaller Pacific republics and that the Confederation must disappear. The Congress in Santiago has been asked to vote the funds for a Restoration Army and for the squadron that would carry it north. The vote has not been taken, and the merchant houses of Valparaiso are divided over it.;;;;;;;;;;;;;x
EVTNEWS1002902_MEDIUM;Portales has asked the Congress in Santiago to vote the funds for a Restoration Army against the Confederation. The decision is still to come.;;;;;;;;;;;;;x
EVTNEWS1002902_SHORT;Santiago debates war on the Confederation.;;;;;;;;;;;;;x
