EVTOPTA36217;Marvelous! His writings will challenge the complacency of our age.;;;;;;;;;;;;;x
EVTNAME36218;Tivoli Gardens;;;;;;;;;;;;;x
EVTDESC36218;Georg Carstensen has obtained royal permission from King Christian VIII to erect an amusement park outside Copenhagen's western ramparts. Tivoli Gardens offers exotic oriental pavilions, illuminations, musical concerts, and amusements for all classes of society.;;;;;;;;;;;;;x
EVTOPTA36218;A delightful refuge for the citizens of Copenhagen.;;;;;;;;;;;;;x
EVTNAME36219;The Rodding Folk High School;;;;;;;;;;;;;x
EVTDESC36219;Inspired by the visionary educational ideas of N.F.S. Grundtvig, the first folk high school has opened in Rodding in northern Schleswig. Aimed at educating rural farmers and youth in Danish literature, history, and civic virtue, it fosters a vibrant democratic culture among the peasantry.;;;;;;;;;;;;;x
EVTOPTA36219;Enlighten the youth of the countryside.;;;;;;;;;;;;;x
EVTNAME36220;Georg Brandes and the Modern Breakthrough;;;;;;;;;;;;;x
EVTDESC36220;At the University of Copenhagen, the brilliant critic Georg Brandes has delivered a sensational series of lectures on 19th-century literature. Demanding that art bring modern social and political questions under debate, Brandes has launched 'Det Moderne Gennembrud' - the Modern Breakthrough - sweeping away stagnant romanticism.;;;;;;;;;;;;;x
EVTOPTA36220;Let literature bring modern life into debate.;;;;;;;;;;;;;x
EVTNAME45006;Dominican Financial Collapse;;;;;;;;;;;;;x
EVTDESC45006;Years of reckless foreign borrowing under the San Domingo Improvement Company have culminated in national insolvency. European and American bondholders threaten naval intervention to seize our customs houses unless the debt is serviced.;;;;;;;;;;;;;x
EVTOPTA45006;The treasury is empty and our creditors are at the gate.;;;;;;;;;;;;;x
EVTNAME48300;Reunification of the Duchy of Anhalt;;;;;;;;;;;;;x
EVTDESC48300;Following the extinction of the collateral ducal lines of Anhalt-Kothen and Anhalt-Bernburg, Duke Leopold IV Friedrich of Anhalt-Dessau has reunited all ancestral territories into a single, indivisible Duchy of Anhalt with its capital at Dessau.;;;;;;;;;;;;;x
EVTOPTA48300;Long live a united Anhalt!;;;;;;;;;;;;;x
EVTNAME48300_NEWS_TITLE;The Duchy of Anhalt Is Reunited;;;;;;;;;;;;;x
EVTDESC48300_NEWS_LONG;Duke Leopold IV Friedrich has united the historic branches of Anhalt-Dessau, Anhalt-Kothen, and Anhalt-Bernburg into a single unified Duchy of Anhalt under one crown.;;;;;;;;;;;;;x
EVTDESC48300_NEWS_MEDIUM;The duchies of Anhalt have been reunited under Duke Leopold IV.;;;;;;;;;;;;;x
EVTDESC48300_NEWS_SHORT;Anhalt reunited under single crown.;;;;;;;;;;;;;x
