norwegian_constitutional_spirit;Norwegian Constitutional Spirit;;;;;;;;;;;;;x
norwegian_constitutional_spirit_desc;The triumph of the Storting in defending the Constitution of Eidsvoll has cemented Norwegian civic pride, political autonomy, and respect for the rule of law.;;;;;;;;;;;;;x
EVTNAME1003400;The Abolition of the Norwegian Nobility;;;;;;;;;;;;;x
EVTDESC1003400;The Norwegian Storting has passed the Adelsloven - the law abolishing hereditary nobility - for the third successive parliament. Under Section 79 of the Constitution of Eidsvoll, the measure now becomes fundamental law despite our royal veto. The King considers this egalitarian act an insult to the dignity of the monarchy, and has gathered six thousand troops in an armed camp at Etterstad outside Christiania to overawe the legislators. We must decide whether to sign the enactment or force an unconstitutional confrontation.;;;;;;;;;;;;;x
EVTOPTA1003400;Sign the enactment with bad grace and keep the union peaceful.;;;;;;;;;;;;;x
EVTOPTB1003400;Threaten to revise the Riksakt by royal decree!;;;;;;;;;;;;;x
EVTNAME1003401;Constitution Day and the 17th of May;;;;;;;;;;;;;x
EVTDESC1003401;A decade has passed since the signing of the Constitution of Eidsvoll on 17 May 1814. In Christiania, students and burghers have taken to the streets to celebrate Constitution Day with patriotic songs and toasts to liberty. In Stockholm, King Karl XIV Johan regards these festivities as an insolent provocation against the Swedish-Norwegian Union and the royal house, and has decreed a strict prohibition against all public observances of the 17th of May.;;;;;;;;;;;;;x
EVTOPTA1003401;Defy the royal decree and celebrate our national freedom!;;;;;;;;;;;;;x
EVTOPTB1003401;Comply with the royal proclamation in quiet resentment.;;;;;;;;;;;;;x
EVTNAME1003402;The Battle of the Square in Christiania;;;;;;;;;;;;;x
EVTDESC1003402;On the evening of 17 May 1829, crowds gathered peacefully in Stortorvet, Christiania's main market square, singing patriotic airs in honour of the constitution. Refusing to tolerate the defiance, Governor-General Count Baltzar von Platen read the Riot Act and unleashed cavalry with drawn sabres and infantry with fixed bayonets into the unarmed assembly. The brutality of Torvslaget has outraged all Norway, and the poet Henrik Wergeland has denounced the Swedish viceroy across every newspaper.;;;;;;;;;;;;;x
EVTOPTA1003402;Von Platen has covered the royal government in indelible shame!;;;;;;;;;;;;;x
EVTNAME1003403;The Viceroyalty Dilemma;;;;;;;;;;;;;x
EVTDESC1003403;The public uproar following Torvslaget, followed swiftly by the death of Count Baltzar von Platen, has made the post of Governor-General of Norway an acute crisis. Norwegian public opinion loudly insists that the office of Swedish viceroy is an intolerable mark of subjugation, demanding that the post either be left permanently vacant or entrusted to a native Norwegian statesman.;;;;;;;;;;;;;x
EVTOPTA1003403;Leave the office vacant to mollify Norwegian sensibilities.;;;;;;;;;;;;;x
EVTOPTB1003403;Appoint Count Wedel-Jarlsberg as a Norwegian viceroy.;;;;;;;;;;;;;x
EVTOPTC1003403;Send another Swedish magnate to maintain royal authority.;;;;;;;;;;;;;x
EVTNAME1003404;The Storting Dissolution Crisis of 1836;;;;;;;;;;;;;x
EVTDESC1003404;In July 1836, the Norwegian Storting was preparing to vote on radical municipal self-government legislation and tariff reforms. Sensing an encroachment upon royal power, King Karl XIV Johan took the abrupt step of dissolving the sitting parliament. The Storting refused to yield: in an unprecedented counterstroke, parliament impeached Prime Minister Severin Lovenskiold before the Riksrett for counter-signing an arbitrary dissolution decree. The King must decide whether to back down or risk the union breaking apart.;;;;;;;;;;;;;x
EVTOPTA1003404;Accept the verdict of the Riksrett and confirm parliamentary privileges.;;;;;;;;;;;;;x
EVTOPTB1003404;Dismiss the Norwegian court and govern by royal prerogative!;;;;;;;;;;;;;x
EVTNAME1003405;The Constitutional Settlement of 1836;;;;;;;;;;;;;x
EVTDESC1003405;The constitutional struggle of 1836 has ended in a decisive victory for Norwegian autonomy. King Karl XIV Johan has accepted the conviction of Prime Minister Lovenskiold, summoned an extraordinary session of the Storting, and confirmed that the Crown will respect the regular triennial meetings of parliament. This triumph paves the way for the Formannskapsdistrikt municipal laws, enshrining local democracy and Norwegian national independence within the dual monarchy.;;;;;;;;;;;;;x
EVTOPTA1003405;Our constitution and liberties stand triumphant.;;;;;;;;;;;;;x
