EVTNAME1002800;Lavalle and the Fall of Dorrego;;;;;;;;;;;;;x
EVTDESC1002800;The Army of the South has come home from the Brazilian war unpaid and unhappy, and on the first of December General Juan Lavalle marched it into the Fort and turned Governor Dorrego out of office. Dorrego has fled into the campana to raise the militia of the countryside, and Colonel Rosas has ridden south to join him. The Unitarian officers want the matter settled at Navarro with a firing squad and no trial. The alternative is to treat with a man the army has already proclaimed a traitor, and to admit that the city cannot govern the province alone.;;;;;;;;;;;;;x
EVTOPTA1002800;Shoot him at Navarro. The province needs one law.;;;;;;;;;;;;;x
EVTOPTB1002800;Dorrego lives. Come to terms with the Federal militias.;;;;;;;;;;;;;x
EVTNAME1002800_NEWS_TITLE;The Army of the South Seizes Buenos Aires;;;;;;;;;;;;;x
EVTDESC1002800_NEWS_LONG;The regiments that fought the Empire of Brazil have overthrown the government they were raised to defend. General Lavalle holds the Fort of Buenos Aires and the deposed Governor Dorrego is in the open country with the militia of the estancias behind him. Whether the quarrel ends in a compact or in a volley, the provinces of the River Plate have learned that the city is held by whoever the cavalry obeys.;;;;;;;;;;;;;x
EVTDESC1002800_NEWS_MEDIUM;General Lavalle has deposed Governor Dorrego and holds the Fort of Buenos Aires. The deposed governor is raising the militia of the campana against the returning army.;;;;;;;;;;;;;x
EVTDESC1002800_NEWS_SHORT;Lavalle deposes Dorrego in Buenos Aires.;;;;;;;;;;;;;x
EVTNAME1002801;The Restorer of the Laws;;;;;;;;;;;;;x
EVTDESC1002801;The countryside will not obey the city. Juan Manuel de Rosas commands the militia of the campana, the estancieros pay it, and the Sala de Representantes is being asked to name him governor with the facultades extraordinarias, powers no governor of Buenos Aires has ever held. His partisans call him the Restorer of the Laws. The alternative is a ministry of lawyers and merchants out of the Unitarian salons of the port: learned, respectable, and without a single squadron of horse behind it.;;;;;;;;;;;;;x
EVTOPTA1002801;Name Rosas governor with extraordinary powers.;;;;;;;;;;;;;x
EVTOPTB1002801;A government of educated men, under the constitution.;;;;;;;;;;;;;x
EVTNAME1002801_NEWS_TITLE;Buenos Aires Debates the Extraordinary Powers;;;;;;;;;;;;;x
EVTDESC1002801_NEWS_LONG;The Sala de Representantes of Buenos Aires must choose between the colonel of the rural militia and the doctors of the city. Juan Manuel de Rosas asks for the facultades extraordinarias and promises order in the campana in exchange, while the Unitarian party offers constitutional government and can guarantee nothing outside the walls. Montevideo is already filling with men who expect to lose.;;;;;;;;;;;;;x
EVTDESC1002801_NEWS_MEDIUM;The Sala de Representantes of Buenos Aires weighs extraordinary powers for Juan Manuel de Rosas against a constitutional ministry drawn from the Unitarian party.;;;;;;;;;;;;;x
EVTDESC1002801_NEWS_SHORT;Buenos Aires weighs extraordinary powers for Rosas.;;;;;;;;;;;;;x
EVTNAME1002802;The Federal Pact and the League of the Interior;;;;;;;;;;;;;x
