giovine_italia;La Giovine Italia;;;;;;;;;;;;;x
giovine_italia_desc;Mazzini's republican vision has ignited a national conscience across the peninsula, uniting intellectuals, students, and workers in the sacred cause of Italian independence and freedom.;;;;;;;;;;;;;x
EVTNAME1003500;The Austrian Garrison in the Peninsula;;;;;;;;;;;;;x
EVTDESC1003500;In the wake of the crushed revolutions of 1820 and 1821, white-coated Austrian infantry maintain garrison across Naples and Piedmont. The restored monarchs have initiated sweeping purges of the civil service, universities, and regiments. Prominent constitutionalists have been thrown into dungeons or driven into foreign exile, with leaders like Santorre di Santa Rosa sailing to Greece to fight for Hellenic freedom. The crown must determine how ruthlessly to purge suspected liberals.;;;;;;;;;;;;;x
EVTOPTA1003500;Root out every vestige of the constitutional infection.;;;;;;;;;;;;;x
EVTOPTB1003500;Temper justice with clemency and avoid creating martyrs.;;;;;;;;;;;;;x
EVTNAME1003501;The Spielberg Trials and Silvio Pellico;;;;;;;;;;;;;x
EVTDESC1003501;The Austrian police have systematically dismantled the Carbonari lodges of Lombardy-Venetia, sending Count Confalonieri, Piero Maroncelli, and the writer Silvio Pellico to the grim fortress prison of the Spielberg in Moravia. Released after eight years of brutal confinement, Pellico has published his prison memoir, Le mie prigioni, in Turin. Its quiet Christian pathos and restrained exposure of imperial harshness have become a literary sensation across Europe, doing more damage to Austrian moral authority than an entire lost army corps.;;;;;;;;;;;;;x
EVTOPTA1003501;A dangerous book, but we cannot suppress it across all Europe.;;;;;;;;;;;;;x
EVTNAME1003502;Giuseppe Mazzini Founds La Giovine Italia;;;;;;;;;;;;;x
EVTDESC1003502;From his exile in Marseille, the twenty-six-year-old Genoese lawyer Giuseppe Mazzini has issued a stirring manifesto repudiating the secrecy, occult rituals, and regional isolation of the Carbonari lodges. In their place he has established La Giovine Italia - Young Italy - dedicated openly to the creation of a united, free, and democratic Italian Republic under the banners of 'Dio e Popolo' and 'Pensiero ed Azione'. A new era of popular national struggle has dawned.;;;;;;;;;;;;;x
EVTOPTA1003502;A new republican crusade has been proclaimed across the peninsula.;;;;;;;;;;;;;x
EVTNAME1003503;The Conspiracy in the Sardinian Army;;;;;;;;;;;;;x
EVTDESC1003503;Mazzini's republican pamphlets have found an ardent reception among junior officers and non-commissioned ranks in the Royal Sardinian Army. Military prosecutors have uncovered an extensive secret network preparing a coup across the garrisons of Genoa, Alessandria, and Chambery. King Carlo Alberto has reacted with unyielding fury: courts-martial have sat in haste, twelve conspirators have been shot, and many more, including Jacopo Ruffini, have died in dark cells.;;;;;;;;;;;;;x
EVTOPTA1003503;Execute the traitors and restore iron discipline to the ranks.;;;;;;;;;;;;;x
EVTOPTB1003503;Commute the capital sentences to fortress confinement.;;;;;;;;;;;;;x
EVTNAME1003504;The Invasion of Savoy and Garibaldi's Flight;;;;;;;;;;;;;x
EVTDESC1003504;In February 1834, Mazzini launched an audacious double assault to overthrow the Sardinian monarchy. An expedition of Italian and Polish exiles under General Ramorino marched into Savoy from Switzerland, while a naval insurrection was prepared in the port of Genoa. The Savoy column disintegrated in bad weather and confusion, and the Genoa plot was betrayed before a shot could be fired. Among the fleeing conspirators is a young sailor from Nice, Giuseppe Garibaldi, condemned to death in absentia and now embarking on an exile across the ocean to South America.;;;;;;;;;;;;;x
EVTOPTA1003504;The plot is crushed and the conspirators are scattered to the winds.;;;;;;;;;;;;;x
EVTNAME1003505;The Awakening of the Risorgimento;;;;;;;;;;;;;x
EVTDESC1003505;Though the armed insurrections of Young Italy have collapsed in disaster, they have permanently transformed Italian public life. The fragmented localism of the old secret societies has been swept away, replaced by an unstoppable national ideal. Even moderate constitutionalists, priests, and aristocrats like Vincenzo Gioberti and Cesare Balbo now acknowledge that the Italian question can never again be silenced until the peninsula achieves freedom and unity.;;;;;;;;;;;;;x
EVTOPTA1003505;Italian unity has become the central question of our age.;;;;;;;;;;;;;x
